表示順位,管理番号,検索キー,所属,府県,1次細分,旧2次細分,市町村,区分,標高,情報発表名,観測所名,読み,注意報期間,注意報基準,警報期間,警報基準,短時間期間,短時間基準,記録雪期間,記録雪基準,積雪厳重,積雪特警,JMA番号,気温JMA番号,緯度,経度
必須：とりあえず表示順に連番としておくと行の順序を変えて編集した後にすぐ戻せて便利,任意：使ってない,必須：ダウンロード・デコード・URL生成の際に観測所を特定するために使用する文字列。複数の値が必要な場合はコロン区切りなどで,必須：気象庁=1、河川=2、道路=3、自治体=10（obsmasterルールに従う）。青森原子力は100を割り当て,必須：都道府県抜きの府県名,任意：使ってない,任意：使ってない,必須：ページに表示される市町村名,必須：「平」「山」始まりの文字列の場合は情報掲載対象として扱い、濃く着色する。それ以外で「m未満」「平」「m以上」「山」を含むときは薄く着色する,任意：ページに表示される標高,必須：表示される観測所名もしくは情報発表名。この列の値を基にシート間の行整合を行うため重複は許されない,任意：ページ上で観測所名を情報発表名に併記する必要がある場合に記載,必須：情報発表名ソートに必要,任意：「A時間でBcm」のAの値。報知・表示して欲しい場合のみ記載,任意：「A時間でBcm」のBの値。報知・表示して欲しい場合のみ記載,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：厳重警戒の閾値となる積雪深,任意：特別警報の閾値となる50年に一度の積雪深,必須：積雪観測所がobsmasterに記載されている場合、所属番号+府県番号+観測所番号の文法で記述。BUFR等で値を取得する際に地点特定材料となる。記載されていない場合は空欄,必須：気温観測所について同左,必須：観測所の緯度,必須：観測所の経度
105,54035,109,10,新潟,中越,十日町地域,十日町市,200m以上,490,天水越(県),,ｱﾏﾐｽﾞｺｼ,,,,,,,,,,,1054102,,37.053836,138.587467
106,54031,105,10,新潟,中越,十日町地域,十日町市,200m以上,220,芋沢(県),,ｲﾓｻﾞﾜ,,,,,,,,,,,1054084,,37.062181,138.709052
107,54036,110,10,新潟,中越,十日町地域,十日町市,200m以上,320,儀明(県),,ｷﾞﾐｮｳ,,,,,,,,,,,,,37.137443,138.558851
108,54029,103,10,新潟,中越,十日町地域,十日町市,200m以上,530,十二峠(県),,ｼﾞｭｳﾆﾄｳｹﾞ,,,,,,,,,,,1054082,,36.987701,138.762264
109,54026,98,10,新潟,中越,十日町地域,十日町市,200m未満,140,十日町(県),,ﾄｵｶﾏﾁ,,,,,,,,,,,,,37.128191,138.746129
110,54028,102,10,新潟,中越,十日町地域,十日町市,200m以上,390,八箇峠(県),,ﾊｯｶﾄｳｹﾞ,,,,,,,,,,,1054081,,37.082991,138.80762
111,54032,106,10,新潟,中越,十日町地域,十日町市,200m以上,210,松代(県),,ﾏﾂﾀﾞｲ,,,,,,,,,,,1054101,,37.131354,138.608838
112,11,54676,1,新潟,中越,十日町地域,十日町市,山沿い,190,十日町,,ﾄｵｶﾏﾁ,,,12,60,12,70,6,45,310,444,154945,154676,37.143333,138.727778
113,54033,107,10,新潟,中越,十日町地域,十日町市,200m以上,300,上鰕池(県),,ｶﾐｴﾋﾞｲｹ,,,,,,,,,,,,,37.068053,138.644341
114,54034,108,10,新潟,中越,十日町地域,十日町市,200m以上,200,苧島(県),,ｵﾉｼﾏ,,,,,,,,,,,,,37.139485,138.656589
115,30017,大潟,3,新潟,上越,上越市,上越市,200m未満,10,大潟(道),,ｵｵｶﾞﾀ,,,,,,,,,,,354044,,37.213932,138.308939
116,30016,柿崎,3,新潟,上越,上越市,上越市,200m未満,20,柿崎(道),,ｶｷｻﾞｷ,,,,,,,,,,,354043,,37.278235,138.396949
117,54048,153,10,新潟,上越,上越市,上越市,品質不良,410,上筒方(県),,ｶﾐﾄﾞｳｶﾞﾀ,,,,,,,,,,,,,37.015227,138.36185
